,nbSyll,pron,origin,warning,remarques,POS,lineId,pageId,motVedette,Sampa,ipa
8126,1,ſcŭm,,,,n.,72.0,191,scum,s k V m,skʌm
8127,2,ſcŭʹpp_e_r,,,,n.,73.0,191,scupper,s k V p 3:r,skʌpɜ:r
8128,3,ſcŭʹrrĭl_o_us,,,,a.,5.0,192,scurrilous,s k 3:r @ l @ s,skɜ:rələs
8129,2,ſcŭʹttle,,,,n.,10.0,192,scuttle,s k V 4 @ l,skʌɾəl
8130,1,ſea,,,,n.,13.0,192,sea,s i:,siː
8131,3,ſeafāʹring,,,,a.,14.0,192,seafaring,s i: f E r\ i N,siːfɛɹiŋ
8132,1,ſeal,,,,n.,15.0,192,seal,s i: l,siːl
8133,2,ſeaʹler,,,,n.,16.0,192,sealer,s i: l 3:r,siːlɜ:r
8134,2,ſeaʹport,,,,n.,18.0,192,seaport,s i: p O: r\ t,siːpOːɹt
8135,1,ſeam,,,,n.,19.0,192,seam,s i: m,siːm
8136,2,ſeaʹmſtreſs,,,,n.,20.0,192,seamstress,s i: m s t r\ i s,siːmstɹis
8137,1,ſean,,,,n.,21.0,192,sean,S O: n,ʃOːn
8138,1,ſear,,,,v.,22.0,192,sear,s I r\,sɪɹ
8139,1,ſearch,,,,n.,24.0,192,search,s 3:r tS,sɜ:r?
8140,2,ſeaʹrcher,,,,n.,25.0,192,searcher,s 3:r tS 3:r,sɜ:r?ɜ:r
8141,2,ſeaʹſon,F.,,,n.,27.0,192,season,s i: z @ n,siːzən
8142,4,ſeaʹſonable,,,,a.,28.0,192,seasonable,s i: z @ n @ b @ l,siːzənəbəl
8143,3,ſeaʹſonings,,,,n.,29.0,192,seasonings,s i: z @ n i N z,siːzəniŋz
8144,1,ſeat,,,,n.,30.0,192,seat,s i: t,siːt
8145,2,ſecēʹde,,,,v.,32.0,192,secede,s i s i: d,sisiːd
8146,4,ſecĕʹſſion,,,,n.,33.0,192,secession,s i s E S @ n,sisɛʃən
8147,2,ſeclūʹde,L.,,,v.,34.0,192,seclude,s @ k l u d,səklud
8148,4,ſeclūʹſion,L.,,,n.,35.0,192,seclusion,s i k l u Z @ n,sikluʒən
8149,2,sĕʹcŏnd,,,,n.,36.0,192,second,s E k @ n d,sɛkənd
